Cmax,Tmax,AUC_0_24,AUC_0_inf,HalfLife,Vd_F,Cl_F,Organ,Dose_mgkg,Animal_ID
6.853429,2.0,21.9537315,22.2821182973815,5.0919507569705384,,,Brain,344,344 mg/kg-1
5.444653,2.0,27.483200500000002,27.863284990194764,5.423440985508865,,,Brain,344,344 mg/kg-2
7.171425,8.0,77.8315225,78.06635176439107,3.9130524443020533,,,Brain,344,344 mg/kg-3
9.511523,0.5,16.549792,16.735817076182013,4.336688429321296,,,Brain,344,344 mg/kg-4
10.837522,8.0,114.08923925,114.17859221876502,3.0509733189225723,,,Brain,344,344 mg/kg-5
4.735716,2.0,20.81404525,20.968588565111265,3.7651141662423577,,,Brain,344,344 mg/kg-6
3.319069,2.0,26.47717425,26.66051018414857,3.944708547273163,,,Heart,344,344 mg/kg-1
9.32678,2.0,29.82736425,30.03981268381725,3.999729280354298,,,Heart,344,344 mg/kg-2
3.971812,2.0,26.89586125,27.07146181745616,3.7151894950541573,,,Heart,344,344 mg/kg-3
40.43258,0.5,178.0488795,178.2237426414208,2.9503406226498288,,,Heart,344,344 mg/kg-4
3.330397,1.0,34.666803,34.75604559197383,3.0853534347110965,,,Heart,344,344 mg/kg-5
16.053787,2.0,58.20405925,58.228927921805614,2.3452584688885754,,,Heart,344,344 mg/kg-6
42.150289,2.0,92.33313799999999,92.56562584868566,4.443018936612032,,,Kidney,344,344 mg/kg-1
34.188206,2.0,129.33851375,129.61401326220548,4.077242081537056,,,Kidney,344,344 mg/kg-2
7.67868,1.0,51.84135475,51.94816100642322,2.779204726552962,,,Kidney,344,344 mg/kg-3
21.366162,0.5,87.63618675000001,87.70281931328255,2.1706068884659278,,,Kidney,344,344 mg/kg-4
5.571966,2.0,40.11715825,40.30574150917411,3.073283201216403,,,Kidney,344,344 mg/kg-5
30.494614,2.0,114.93227925,115.17049474597556,3.740195243191107,,,Kidney,344,344 mg/kg-6
15.676828,2.0,65.441873,67.72528839939969,6.710803248425097,,,Liver,344,344 mg/kg-1
69.949685,2.0,129.0898685,143.95790407701548,18.031996746727156,,,Liver,344,344 mg/kg-2
7.63695,4.0,48.604217,49.10925361077086,3.4670856393646536,,,Liver,344,344 mg/kg-3
171.521172,0.5,132.74710675,133.58986842136764,3.3087202926773362,,,Liver,344,344 mg/kg-4
16.307757,1.0,94.05837775,96.47945421270543,4.239453734411321,,,Liver,344,344 mg/kg-5
29.388421,2.0,90.12581075,91.60550114408352,5.862158349111916,,,Liver,344,344 mg/kg-6
0.002227,2.0,0.0038647499999999997,0.011560961917164566,15.829696116838191,14949.76168292205,654.6168090705139,Plasma,344,Low-1
0.001171,4.0,0.00280125,,,,,Plasma,344,Low-2
0.000732,1.0,0.0034012499999999998,,,,,Plasma,344,Low-3
0.002073,0.5,0.00169425,,,,,Plasma,344,Low-4
0.000701,1.0,0.0074595,0.00774795200291691,6.248115392147673,8804.765267539937,976.7742491371703,Plasma,344,Low-5
0.012633,4.0,0.045338,0.045745440951189244,3.322547606605686,793.0107169240149,165.43725107109836,Plasma,344,Low-6
16.708622,2.0,60.55882425,60.680365500221114,3.06940557847842,,,Brain,688,688 mg/kg-1
18.844491,0.5,52.40978275,52.65293416401667,3.380869332106053,,,Brain,688,688 mg/kg-2
11.523477,8.0,132.29120225,133.4906888761233,4.25751741327574,,,Brain,688,688 mg/kg-3
4.935342,8.0,57.23904125,60.015041075112705,7.904499285257945,,,Brain,688,688 mg/kg-4
8.383334,8.0,91.698589,92.34172287138706,4.857595860070638,,,Brain,688,688 mg/kg-5
23.314407,0.5,78.32799625,78.4819831467043,3.2764092241078635,,,Brain,688,688 mg/kg-6
8.346843,1.0,47.29373100000001,47.69428335303371,4.588436995685951,,,Heart,688,688 mg/kg-1
4.77717,2.0,25.4749605,26.6081268578166,5.964530029736854,,,Heart,688,688 mg/kg-2
19.401646,2.0,203.84844374999997,203.95399320735075,2.7517699918128247,,,Heart,688,688 mg/kg-3
6.178248,8.0,70.27298075,71.65782175403385,6.230437847869504,,,Heart,688,688 mg/kg-4
33.443456,1.0,89.280152,,,,,Heart,688,688 mg/kg-5
8.185159,8.0,88.79010275,88.88721800308967,2.9489273171449493,,,Heart,688,688 mg/kg-6
32.025529,2.0,104.94457775,105.41380384303164,3.483188684659167,,,Kidney,688,688 mg/kg-1
58.909073,2.0,135.63681225,136.60512042928468,5.085622267566205,,,Kidney,688,688 mg/kg-2
25.585699,8.0,277.85399775,288.3618229164175,9.146881165921878,,,Kidney,688,688 mg/kg-3
84.840122,8.0,889.15099325,1458.1876768879924,106.78398035209192,,,Kidney,688,688 mg/kg-4
95.848318,8.0,971.6248337500001,972.1880530297731,3.3782784338149785,,,Kidney,688,688 mg/kg-5
27.707628,0.5,260.42727125,260.80511517769196,3.3367067965932513,,,Kidney,688,688 mg/kg-6
116.711829,2.0,445.93917324999995,449.96394453259313,6.647537736801683,,,Liver,688,688 mg/kg-1
83.331658,2.0,397.9033315,407.0424489794887,7.403241090596229,,,Liver,688,688 mg/kg-2
70.973645,8.0,869.65967075,962.6803608082122,8.273962527487402,,,Liver,688,688 mg/kg-3
44.230875,0.5,225.213463,230.51080657228513,5.7146573102995974,,,Liver,688,688 mg/kg-4
106.506845,8.0,1082.9775395,1085.9302197601555,4.542904321334813,,,Liver,688,688 mg/kg-5
186.064871,0.5,1355.8204945,,,,,Liver,688,688 mg/kg-6
0.000614,0.5,0.0005499999999999999,,,,,Plasma,688,Medium-1
0.001243,0.5,0.0006742499999999999,0.0006821652063455155,1.3716007404860853,43905.99305391854,22188.17356734791,Plasma,688,Medium-2
0.00093,0.5,0.00053925,0.0007193624048470285,5.201850233482884,157904.95753576054,21040.854926549368,Plasma,688,Medium-3
0.000896,8.0,0.0022695,,,,,Plasma,688,Medium-4
0.08486,0.5,0.0330265,,,,,Plasma,688,Medium-5
0.023162,8.0,0.047196249999999995,,,,,Plasma,688,Medium-6
21.253458,2.0,68.36437749999999,68.53483374724573,3.518291560574398,,,Brain,1375,1375 mg/kg-1
24.782053,2.0,213.36919275000002,213.45220931869656,2.92272960848049,,,Brain,1375,1375 mg/kg-2
49.213152,8.0,537.766161,537.8185515738317,2.347710016763255,,,Brain,1375,1375 mg/kg-3
35.889871,8.0,444.31425425000003,444.44471274052466,2.069029513494248,,,Brain,1375,1375 mg/kg-4
71.617687,8.0,203.56516225000001,,,,,Brain,1375,1375 mg/kg-5
52.168908,8.0,166.29844725,,,,,Brain,1375,1375 mg/kg-6
44.460506,0.5,107.116795,107.17302154070427,2.139507474846629,,,Heart,1375,1375 mg/kg-1
12.865632,0.5,73.1248095,73.20311186986561,2.4349514088609276,,,Heart,1375,1375 mg/kg-2
46.891781,2.0,335.27493075,335.5668995279833,2.845335535115857,,,Heart,1375,1375 mg/kg-3
23.994605,0.5,212.05087650000002,212.28728283364856,3.0316623861724654,,,Heart,1375,1375 mg/kg-4
15.376638,8.0,52.795393749999995,,,,,Heart,1375,1375 mg/kg-5
27.66829,8.0,104.619104,,,,,Heart,1375,1375 mg/kg-6
188.830143,2.0,551.2967235,551.4828815794443,2.301524086422641,,,Kidney,1375,1375 mg/kg-1
231.733841,4.0,2154.2752474999998,2154.3800497024713,1.5572661455897505,,,Kidney,1375,1375 mg/kg-2
166.484078,0.5,780.1053107500001,780.2312972660674,1.8533330164189696,,,Kidney,1375,1375 mg/kg-3
125.552298,8.0,1563.7939352499998,1564.8102218905385,2.2438419183483473,,,Kidney,1375,1375 mg/kg-4
76.445074,8.0,252.056126,,,,,Kidney,1375,1375 mg/kg-5
112.824738,8.0,373.55471075,,,,,Kidney,1375,1375 mg/kg-6
236.43605,2.0,770.3701437499999,771.957408028721,2.8624855201170547,,,Liver,1375,1375 mg/kg-1
222.585374,2.0,3159.4698605000003,,,,,Liver,1375,1375 mg/kg-2
152.699755,2.0,1849.7197130000002,,,,,Liver,1375,1375 mg/kg-3
146.557631,8.0,1538.32715625,1539.7218127353854,3.4172975261840848,,,Liver,1375,1375 mg/kg-4
279.654464,8.0,610.985133,,,,,Liver,1375,1375 mg/kg-5
216.578306,1.0,614.020246,,,,,Liver,1375,1375 mg/kg-6
0.000407,0.5,0.0020155,,,,,Plasma,1375,High-1
0.001872,0.5,0.00339375,0.0074453607156661555,7.736535934684456,45348.26977490558,4062.932765144537,Plasma,1375,High-2
0.482283,1.0,0.39820875,,,,,Plasma,1375,High-3
0.00072,8.0,0.01031025,0.012051464983643276,11.17516904315804,40468.226866330486,2510.0682814127986,Plasma,1375,High-4
0.005232,2.0,0.0032572499999999997,,,,,Plasma,1375,High-5
0.001938,0.5,0.0020255,0.00929916518642664,30.930800713550024,145160.05309543846,3252.9801754843406,Plasma,1375,High-6
